"","FWB_id","sp_site","collection_site_id","fish_species","fish_family","waterbody_type","collection_decimal_longitude","collection_decimal_latitude","sp_site_mean_N","sp_site_var_N","sp_site_mean_C","sp_site_var_C","sp_site_mean_length","sp_site_var_length","sp_site_num_ind","VarTot","Food web_ID","Climate_zone","Type","Latitude","Longitude","Size","dis_r_sv","TP","TN","Distance_km","temp","hft","prec","pop","crp","urb","upstr","regul","pop_den","size_class","size_z_scored","hydro_dis_z_scored","TP_class","Climate_zone_e","Climate_zone_e2","Dist_class","distance_to_env_m","match_flag","num"
"1","FWB_0003","Leiopotherapon unicolor_Baitpool","Baitpool","Leiopotherapon unicolor","Terapontidae","lentic",123.684752,-17.783672,0.36967677440853,0.0754657699904764,0.855181518151815,0.0215105360040955,38,61,5,0.0969763059945719,"FWB_0003",17,"lentic",-17.783672,123.684752,-2.12026353620009,4.97528777468863,3.38153014014091,65.6349952,32.1390922175917,274,31,523,-6.90775527898214,0,0,5.61314274131748,0,-4.70942020736189,"small",-0.946562784624735,2.56922729428435,"low_prod","Extremely hot and xeric","Hot and dry","Q1 (close)",0,"ok",1
"2","FWB_0003","NA_Baitpool","Baitpool","NA","Ambassidae","lentic",123.684752,-17.783672,0.554370765300455,0.153789271546087,0.542310231023102,0.0211274973041859,23,103,3,0.174916768850273,"FWB_0003",17,"lentic",-17.783672,123.684752,-2.12026353620009,4.97528777468863,3.38153014014091,65.6349952,32.1390922175917,274,31,523,-6.90775527898214,0,0,5.61314274131748,0,-4.70942020736189,"small",-0.946562784624735,2.56922729428435,"low_prod","Extremely hot and xeric","Hot and dry","Q1 (close)",0,"ok",1
"3","FWB_0003","Nematalosa erebi_Baitpool","Baitpool","Nematalosa erebi","Dorosomatidae","lentic",123.684752,-17.783672,0.567277574141953,0.0272283225373837,0.276778877887789,0.0271619871690139,30.2,53.2,5,0.0543903097063976,"FWB_0003",17,"lentic",-17.783672,123.684752,-2.12026353620009,4.97528777468863,3.38153014014091,65.6349952,32.1390922175917,274,31,523,-6.90775527898214,0,0,5.61314274131748,0,-4.70942020736189,"small",-0.946562784624735,2.56922729428435,"low_prod","Extremely hot and xeric","Hot and dry","Q1 (close)",0,"ok",1
"4","FWB_0003","Neosilurus hyrtlii_Baitpool","Baitpool","Neosilurus hyrtlii","Plotosidae","lentic",123.684752,-17.783672,0.379273575474842,0.00623675258308319,0.380726072607261,0.000454709233299567,58.2,16.2,5,0.00669146181638276,"FWB_0003",17,"lentic",-17.783672,123.684752,-2.12026353620009,4.97528777468863,3.38153014014091,65.6349952,32.1390922175917,274,31,523,-6.90775527898214,0,0,5.61314274131748,0,-4.70942020736189,"small",-0.946562784624735,2.56922729428435,"low_prod","Extremely hot and xeric","Hot and dry","Q1 (close)",0,"ok",1
"5","FWB_0003","Toxotes kimberleyensis_Baitpool","Baitpool","Toxotes kimberleyensis","Toxotidae","lentic",123.684752,-17.783672,0.373742085971343,0.00439077233058271,0.680712871287129,0.00518589332200546,24.6,18.8,5,0.00957666565258817,"FWB_0003",17,"lentic",-17.783672,123.684752,-2.12026353620009,4.97528777468863,3.38153014014091,65.6349952,32.1390922175917,274,31,523,-6.90775527898214,0,0,5.61314274131748,0,-4.70942020736189,"small",-0.946562784624735,2.56922729428435,"low_prod","Extremely hot and xeric","Hot and dry","Q1 (close)",0,"ok",1
"6","FWB_0017","Leiopotherapon unicolor_Bulimba Lynd Crossing","Bulimba Lynd Crossing","Leiopotherapon unicolor","Terapontidae","lotic",143.4108,-16.7125,0.637920489296636,0.111901635664787,0.744540831588394,0.137532236382871,93,1092,3,0.249433872047658,"FWB_0017",17,"lotic",-16.7125,143.4108,3.40056384768855,5.39930259405343,1.63984249243876,11.5280946,36.4806009186243,265,2,946,-6.90775527898214,0,0,7.58084617517767,0,-4.96041757793564,"large",1.30430664951426,0.226358778605712,"low_prod","Extremely hot and xeric","Hot and dry","Q2",0,"ok",1
"7","FWB_0017","NA_Bulimba Lynd Crossing","Bulimba Lynd Crossing","NA","Melanotaeniidae","lotic",143.4108,-16.7125,0.347400611620795,0.105516019975872,0.262538637949945,0.132535867342768,45.6666666666667,492.333333333333,3,0.238051887318639,"FWB_0017",17,"lotic",-16.7125,143.4108,3.40056384768855,5.39930259405343,1.63984249243876,11.5280946,36.4806009186243,265,2,946,-6.90775527898214,0,0,7.58084617517767,0,-4.96041757793564,"large",1.30430664951426,0.226358778605712,"low_prod","Extremely hot and xeric","Hot and dry","Q2",0,"ok",1
"8","FWB_0019","Hephaestus jenkinsi_Bullock Crossing","Bullock Crossing","Hephaestus jenkinsi","Terapontidae","lotic",125.385156,-18.440485,0.31825331691971,0.0385729815506137,0.19291522572203,0.0163750896195543,138.5,662.7,6,0.054948071170168,"FWB_0019",17,"lotic",-18.440485,125.385156,3.17329251324624,4.99410563159376,4.49145575198563,81.55365369,35.7873338271701,275,5,476,-6.90775527898214,0,0,5.86233775426197,0,-5.29631936388536,"large",1.1490940608023,-0.310202188538389,"low_prod","Extremely hot and xeric","Hot and dry","Q2",0,"ok",1
"9","FWB_0019","Neoarius graeffei_Bullock Crossing","Bullock Crossing","Neoarius graeffei","Ariidae","lotic",125.385156,-18.440485,0.632494414808736,0.0521380629986924,0.550118910386225,0.0655165205322324,263,3344.11764705882,18,0.117654583530925,"FWB_0019",17,"lotic",-18.440485,125.385156,3.17329251324624,4.99410563159376,4.49145575198563,81.55365369,35.7873338271701,275,5,476,-6.90775527898214,0,0,5.86233775426197,0,-5.29631936388536,"large",1.1490940608023,-0.310202188538389,"low_prod","Extremely hot and xeric","Hot and dry","Q2",0,"ok",1
"10","FWB_0020","Hephaestus carbo_Bushy Creek","Bushy Creek","Hephaestus carbo","Terapontidae","lotic",145.3166667,-16.5666667,0.85968514715948,0.0292506427020915,0.122172302356743,0.0112140367025046,109,2503,3,0.0404646794045961,"FWB_0020",13,"lotic",-16.5666667,145.3166667,0.77794778225241,5.39685554471486,4.24836319090242,265.4608058,75.1336810566759,215,8,1645,-3.32423634052603,0,0,0.777952375719123,0,0.7178446711872,"small",-0.486781653428943,0.223118401008157,"low_prod","Hot and mesic","Hot and moist","Q4 (far)",0,"ok",1
